"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
11.1666666666667, 26.3270506093419, 8.5957850244814, 38.7565317338318, 40.7562333878736, 0.488754311166158, 0.103061169906488, 1.18573107364814
11.3333333333333, 19.3912059402762, 6.3689949039492, 38.7565317338318, 40.7562333878736, 0.150391776055156, 0.0448438568276775, 1.18573107364814
11.5, 20.7228837829857, 6.80749800552902, 38.7565317338318, 40.7562333878736, 0.164628710623527, 0.0503308383828918, 1.18573107364814
11.6666666666667, 24.5078753004293, 8.05228580343361, 38.7565317338318, 40.7562333878736, 0.218103923782255, 0.068493047204324, 1.18573107364814
11.8333333333333, 33.0783964536858, 10.8765514684514, 38.7565317338318, 40.7562333878736, 0.307373009322746, 0.105234467481988, 1.18573107364814
12, 39.0106762530217, 12.8252449422062, 39.0106762530217, 41.0648239926297, 0.449729661474531, 0.150604173706038, 1.18573107364814
12.1666666666667, 33.829634676159, 11.100717178221, 39.0106762530217, 41.0648239926297, 0.475822763583393, 0.137822561620555, 1.18573107364814
12.3333333333333, 27.1274531395089, 8.90224357722206, 39.0106762530217, 41.0648239926297, 0.316556294385861, 0.0899162483578802, 1.18573107364814
12.5, 15.9215039540288, 5.23379193064046, 39.0106762530217, 41.0648239926297, 0.0798287000832504, 0.0268856059242974, 1.18573107364814
12.6666666666667, 10.7006990321345, 3.51874630030867, 39.0106762530217, 41.0648239926297, 0.0300446438732424, 0.0114641454750355, 1.18573107364814
12.8333333333333, 15.389044578411, 5.05176099068635, 39.0106762530217, 41.0648239926297, 0.112223442948696, 0.0304742958724879, 1.18573107364814
13, 11.8577315635744, 3.89289884290656, 39.0106762530217, 41.0648239926297, 0.0672786567713179, 0.017959291441004, 1.18573107364814
13.1666666666667, 13.4946401058202, 4.43391612656585, 39.0106762530217, 41.0648239926297, 0.0686920515585363, 0.0210108635917596, 1.18573107364814
13.3333333333333, 23.1682438535696, 7.56649855418444, 39.0106762530217, 41.0648239926297, 0.406027622956973, 0.0848454781911197, 1.18573107364814
13.5, 10.6263156938198, 3.49238483483473, 39.0106762530217, 41.0648239926297, 0.0401332951497366, 0.0129596185067603, 1.18573107364814
13.6666666666667, 18.1322878970228, 5.9538842460088, 39.0106762530217, 41.0648239926297, 0.136818136511626, 0.0390825631364224, 1.18573107364814
13.8333333333333, 12.9167094069735, 4.24485168517752, 39.0106762530217, 41.0648239926297, 0.0582253953038278, 0.0183763375198256, 1.18573107364814
14, 13.610943607955, 4.47658820227277, 39.0106762530217, 41.0648239926297, 0.0443743871799223, 0.0174855005019509, 1.18573107364814
